date,product,category,region,quantity,revenue
2023-05-25,Headphones,Acessorioes,Europe,1,1099
2024-05-18,Phone,Eletronics,North America,1,349
2023-06-30,Laptop,Eletronics,North America,5,1865
2023-03-03,Laptop,Eletronics,Asia,4,3920
2024-12-27,Phone,Eletronics,North America,4,1036
2023-09-15,Laptop,Eletronics,North America,4,2200
2024-06-30,Monitor,Eletronics,North America,4,3484
2023-05-13,Phone,Eletronics,South America,1,228
2023-04-21,Headphones,Acessorioes,North America,5,1370
2023-10-14,Laptop,Eletronics,Asia,1,893
2023-10-19,Monitor,Eletronics,Asia,1,963
2023-05-17,Headphones,Acessorioes,North America,1,770
2024-02-14,Tablet,Eletronics,North America,3,687
2023-08-24,Headphones,Acessorioes,Asia,3,1725
2024-10-03,Monitor,Eletronics,South America,4,944
2024-07-21,Laptop,Eletronics,Europe,4,1000
2024-07-17,Phone,Eletronics,South America,2,604
2024-05-15,Monitor,Eletronics,Asia,5,360
2024-10-27,Laptop,Eletronics,Asia,2,1844
2023-06-07,Phone,Eletronics,Europe,1,204
2023-11-23,Laptop,Eletronics,South America,5,4615
2023-12-29,Monitor,Eletronics,North America,1,272
2023-07-14,Laptop,Eletronics,North America,5,270
2024-11-27,Laptop,Eletronics,Asia,3,3213
2024-09-25,Phone,Eletronics,North America,5,4905
2024-10-16,Headphones,Acessorioes,Asia,5,5445
2023-05-20,Tablet,Eletronics,Asia,3,915
2023-07-15,Headphones,Acessorioes,Europe,5,2635
2024-03-26,Headphones,Acessorioes,South America,5,3705
2024-09-08,Phone,Eletronics,North America,5,4100
2023-07-15,Phone,Eletronics,Asia,4,2380
2024-10-20,Monitor,Eletronics,Asia,1,201
2024-06-09,Phone,Eletronics,South America,1,690
2024-10-01,Monitor,Eletronics,South America,4,3300
2023-06-09,Headphones,Acessorioes,North America,2,1228
2024-11-27,Monitor,Eletronics,Asia,4,1928
2024-04-24,Phone,Eletronics,Europe,5,2625
2023-03-15,Headphones,Acessorioes,Europe,4,3180
2023-08-10,Monitor,Eletronics,North America,4,2408
2023-12-05,Monitor,Eletronics,North America,4,4084
2023-10-12,Phone,Eletronics,South America,3,1833
2024-07-04,Tablet,Eletronics,North America,2,772
2024-05-30,Phone,Eletronics,Europe,3,2220
2024-04-04,Laptop,Eletronics,North America,1,938
2024-09-03,Headphones,Acessorioes,North America,4,3588
2024-10-14,Phone,Eletronics,South America,2,128
2024-03-11,Monitor,Eletronics,Asia,1,295
2023-11-20,Tablet,Eletronics,Europe,4,4040
2023-08-05,Phone,Eletronics,Asia,3,1626
2024-01-27,Phone,Eletronics,North America,2,608
2023-06-11,Headphones,Acessorioes,Asia,3,153
2023-03-01,Monitor,Eletronics,North America,3,504
2024-02-03,Monitor,Eletronics,North America,5,640
2024-04-04,Monitor,Eletronics,Europe,3,2232
2023-07-31,Phone,Eletronics,North America,3,1746
2023-02-13,Monitor,Eletronics,North America,3,3126
2023-02-27,Tablet,Eletronics,Asia,1,965
2024-10-25,Laptop,Eletronics,Europe,5,355
2024-06-28,Monitor,Eletronics,Asia,1,701
2023-04-23,Laptop,Eletronics,Europe,5,4490
